name,slug,value,date_of_information,ranking,region
"China","china","1,416,043,270","",1,"East and Southeast Asia"
"India","india","1,409,128,296","",2,"South Asia"
"United States","united-states","341,963,408","",3,"North America"
"Indonesia","indonesia","281,562,465","",4,"East and Southeast Asia"
"Pakistan","pakistan","252,363,571","",5,"South Asia"
"Nigeria","nigeria","236,747,130","",6,"Africa"
"Brazil","brazil","220,051,512","",7,"South America"
"Bangladesh","bangladesh","168,697,184","",8,"South Asia"
"Russia","russia","140,820,810","",9,"Central Asia"
"Mexico","mexico","130,739,927","",10,"North America"
"Japan","japan","123,201,945","",11,"East and Southeast Asia"
"Ethiopia","ethiopia","118,550,298","",12,"Africa"
"Philippines","philippines","118,277,063","",13,"East and Southeast Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","115,403,027","",14,"Africa"
"Egypt","egypt","111,247,248","",15,"Africa"
"Vietnam","vietnam","105,758,975","",16,"East and Southeast Asia"
"Iran","iran","88,386,937","",17,"Middle East"
"Turkey (Turkiye)","turkey-turkiye","84,119,531","",18,"Middle East"
"Germany","germany","84,119,100","",19,"Europe"
"Thailand","thailand","69,920,998","",20,"East and Southeast Asia"
"United Kingdom","united-kingdom","68,459,055","",21,"Europe"
"France","france","68,374,591","",22,"Europe"
"Tanzania","tanzania","67,462,121","",23,"Africa"
"Italy","italy","60,964,931","",24,"Europe"
"South Africa","south-africa","60,442,647","",25,"Africa"
"Kenya","kenya","58,246,378","",26,"Africa"
"Burma","burma","57,527,139","",27,"East and Southeast Asia"
"Korea, South","korea-south","52,081,799","",28,"East and Southeast Asia"
"Sudan","sudan","50,467,278","",29,"Africa"
"Colombia","colombia","49,588,357","",30,"South America"
"Uganda","uganda","49,283,041","",31,"Africa"
"Spain","spain","47,280,433","",32,"Europe"
"Algeria","algeria","47,022,473","",33,"Africa"
"Argentina","argentina","46,994,384","",34,"South America"
"Iraq","iraq","42,083,436","",35,"Middle East"
"Afghanistan","afghanistan","40,121,552","",36,"South Asia"
"Canada","canada","38,794,813","",37,"North America"
"Poland","poland","38,746,310","",38,"Europe"
"Morocco","morocco","37,387,585","",39,"Africa"
"Angola","angola","37,202,061","",40,"Africa"
"Saudi Arabia","saudi-arabia","36,544,431","",41,"Middle East"
"Uzbekistan","uzbekistan","36,520,593","",42,"Central Asia"
"Ukraine","ukraine","35,661,826","",43,"Europe"
"Ghana","ghana","34,589,092","",44,"Africa"
"Malaysia","malaysia","34,564,810","",45,"East and Southeast Asia"
"Mozambique","mozambique","33,350,954","",46,"Africa"
"Peru","peru","32,600,249","",47,"South America"
"Yemen","yemen","32,140,443","",48,"Middle East"
"Venezuela","venezuela","31,250,306","",49,"South America"
"Nepal","nepal","31,122,387","",50,"South Asia"
"Cameroon","cameroon","30,966,105","",51,"Africa"
"Cote d'Ivoire","cote-divoire","29,981,758","",52,"Africa"
"Madagascar","madagascar","29,452,714","",53,"Africa"
"Australia","australia","26,768,598","",54,"Australia and Oceania"
"Niger","niger","26,342,784","",55,"Africa"
"Korea, North","korea-north","26,298,666","",56,"East and Southeast Asia"
"Syria","syria","23,865,423","",57,"Middle East"
"Taiwan","taiwan","23,595,274","",58,"East and Southeast Asia"
"Burkina Faso","burkina-faso","23,042,199","",59,"Africa"
"Mali","mali","21,990,607","",60,"Africa"
"Sri Lanka","sri-lanka","21,982,608","",61,"South Asia"
"Malawi","malawi","21,763,309","",62,"Africa"
"Zambia","zambia","20,799,116","",63,"Africa"
"Kazakhstan","kazakhstan","20,260,006","",64,"Central Asia"
"Chad","chad","19,093,595","",65,"Africa"
"Senegal","senegal","18,847,519","",66,"Africa"
"Chile","chile","18,664,652","",67,"South America"
"Ecuador","ecuador","18,309,984","",68,"South America"
"Guatemala","guatemala","18,255,216","",69,"Central America and the Caribbean"
"Romania","romania","18,148,155","",70,"Europe"
"Netherlands","netherlands","17,772,378","",71,"Europe"
"Zimbabwe","zimbabwe","17,150,352","",72,"Africa"
"Cambodia","cambodia","17,063,669","",73,"East and Southeast Asia"
"Benin","benin","14,697,052","",74,"Africa"
"Guinea","guinea","13,986,179","",75,"Africa"
"Rwanda","rwanda","13,623,302","",76,"Africa"
"Burundi","burundi","13,590,102","",77,"Africa"
"Somalia","somalia","13,017,273","",78,"Africa"
"South Sudan","south-sudan","12,703,714","",79,"Africa"
"Bolivia","bolivia","12,311,974","",80,"South America"
"Tunisia","tunisia","12,048,847","",81,"Africa"
"Belgium","belgium","11,977,634","",82,"Europe"
"Haiti","haiti","11,753,943","",83,"Central America and the Caribbean"
"Jordan","jordan","11,174,024","",84,"Middle East"
"Cuba","cuba","10,966,038","",85,"Central America and the Caribbean"
"Czechia","czechia","10,837,890","",86,"Europe"
"Dominican Republic","dominican-republic","10,815,857","",87,"Central America and the Caribbean"
"Azerbaijan","azerbaijan","10,650,239","",88,"Middle East"
"Sweden","sweden","10,589,835","",89,"Europe"
"Greece","greece","10,461,091","",90,"Europe"
"Tajikistan","tajikistan","10,394,063","",91,"Central Asia"
"Portugal","portugal","10,207,177","",92,"Europe"
"Papua New Guinea","papua-new-guinea","10,046,233","",93,"East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","10,032,213","",94,"Middle East"
"Hungary","hungary","9,855,745","",95,"Europe"
"Honduras","honduras","9,529,188","",96,"Central America and the Caribbean"
"Belarus","belarus","9,501,451","",97,"Europe"
"Israel","israel","9,402,617","",98,"Middle East"
"Sierra Leone","sierra-leone","9,121,049","",99,"Africa"
"Austria","austria","8,967,982","",100,"Europe"
"Togo","togo","8,917,994","",101,"Africa"
"Switzerland","switzerland","8,860,574","",102,"Europe"
"Laos","laos","7,953,556","",103,"East and Southeast Asia"
"Paraguay","paraguay","7,522,549","",104,"South America"
"Libya","libya","7,361,263","",105,"Africa"
"Hong Kong","hong-kong","7,297,821","",106,"East and Southeast Asia"
"Bulgaria","bulgaria","6,782,659","",107,"Europe"
"Nicaragua","nicaragua","6,676,948","",108,"Central America and the Caribbean"
"Serbia","serbia","6,652,212","",109,"Europe"
"El Salvador","el-salvador","6,628,702","",110,"Central America and the Caribbean"
"Eritrea","eritrea","6,343,956","",111,"Africa"
"Kyrgyzstan","kyrgyzstan","6,172,101","",112,"Central Asia"
"Congo, Republic of the","congo-republic-of-the","6,097,665","",113,"Africa"
"Singapore","singapore","6,028,459","",114,"East and Southeast Asia"
"Denmark","denmark","5,973,136","",115,"Europe"
"Turkmenistan","turkmenistan","5,744,151","",116,"Central Asia"
"Central African Republic","central-african-republic","5,650,957","",117,"Africa"
"Finland","finland","5,626,414","",118,"Europe"
"Slovakia","slovakia","5,563,649","",119,"Europe"
"Norway","norway","5,509,733","",120,"Europe"
"Liberia","liberia","5,437,249","",121,"Africa"
"Lebanon","lebanon","5,364,482","",122,"Middle East"
"Costa Rica","costa-rica","5,265,575","",123,"Central America and the Caribbean"
"Ireland","ireland","5,233,461","",124,"Europe"
"New Zealand","new-zealand","5,161,211","",125,"Australia and Oceania"
"Georgia","georgia","4,900,961","",126,"Middle East"
"Panama","panama","4,470,241","",127,"Central America and the Caribbean"
"Mauritania","mauritania","4,328,040","",128,"Africa"
"Croatia","croatia","4,150,116","",129,"Europe"
"Oman","oman","3,901,992","",130,"Middle East"
"Bosnia and Herzegovina","bosnia-and-herzegovina","3,798,671","",131,"Europe"
"Moldova","moldova","3,599,528","",132,"Europe"
"Uruguay","uruguay","3,425,330","",133,"South America"
"Mongolia","mongolia","3,281,676","",134,"East and Southeast Asia"
"West Bank","west-bank","3,243,369","",135,"Middle East"
"Kuwait","kuwait","3,138,355","",136,"Middle East"
"Albania","albania","3,107,100","",137,"Europe"
"Puerto Rico","puerto-rico","3,019,450","",138,"Central America and the Caribbean"
"Armenia","armenia","2,976,765","",139,"Middle East"
"Jamaica","jamaica","2,823,713","",140,"Central America and the Caribbean"
"Namibia","namibia","2,803,660","",141,"Africa"
"Lithuania","lithuania","2,628,186","",142,"Europe"
"Qatar","qatar","2,552,088","",143,"Middle East"
"Gambia, The","gambia-the","2,523,327","",144,"Africa"
"Gabon","gabon","2,455,105","",145,"Africa"
"Botswana","botswana","2,450,668","",146,"Africa"
"Lesotho","lesotho","2,227,548","",147,"Africa"
"Gaza Strip","gaza-strip","2,141,643","",148,"Middle East"
"North Macedonia","north-macedonia","2,135,622","",149,"Europe"
"Guinea-Bissau","guinea-bissau","2,132,325","",150,"Africa"
"Slovenia","slovenia","2,097,893","",151,"Europe"
"Kosovo","kosovo","1,977,093","",152,"Europe"
"Latvia","latvia","1,801,246","",153,"Europe"
"Equatorial Guinea","equatorial-guinea","1,795,834","",154,"Africa"
"Bahrain","bahrain","1,566,888","",155,"Middle East"
"Timor-Leste","timor-leste","1,506,909","",156,"East and Southeast Asia"
"Trinidad and Tobago","trinidad-and-tobago","1,408,966","",157,"Central America and the Caribbean"
"Cyprus","cyprus","1,320,525","",158,"Europe"
"Mauritius","mauritius","1,310,504","",159,"Africa"
"Estonia","estonia","1,193,791","",160,"Europe"
"Eswatini","eswatini","1,138,089","",161,"Africa"
"Djibouti","djibouti","994,974","",162,"Africa"
"Fiji","fiji","951,611","",163,"Australia and Oceania"
"Comoros","comoros","900,141","",164,"Africa"
"Bhutan","bhutan","884,546","",165,"South Asia"
"Guyana","guyana","794,099","",166,"South America"
"Solomon Islands","solomon-islands","726,799","",167,"Australia and Oceania"
"Luxembourg","luxembourg","671,254","",168,"Europe"
"Suriname","suriname","646,758","",169,"South America"
"Macau","macau","644,426","",170,"East and Southeast Asia"
"Cabo Verde","cabo-verde","611,014","",171,"Africa"
"Montenegro","montenegro","599,849","",172,"Europe"
"Brunei","brunei","491,900","",173,"East and Southeast Asia"
"Malta","malta","469,730","",174,"Europe"
"Belize","belize","415,789","",175,"Central America and the Caribbean"
"Bahamas, The","bahamas-the","410,862","",176,"Central America and the Caribbean"
"Maldives","maldives","388,858","",177,"South Asia"
"Iceland","iceland","364,036","",178,"Europe"
"Vanuatu","vanuatu","318,007","",179,"Australia and Oceania"
"New Caledonia","new-caledonia","304,167","",180,"Australia and Oceania"
"Barbados","barbados","304,139","",181,"Central America and the Caribbean"
"French Polynesia","french-polynesia","303,540","",182,"Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","223,561","",183,"Africa"
"Samoa","samoa","208,853","",184,"Australia and Oceania"
"Guam","guam","169,532","",185,"Australia and Oceania"
"Saint Lucia","saint-lucia","168,038","",186,"Central America and the Caribbean"
"Curacao","curacao","153,289","",187,"Central America and the Caribbean"
"Aruba","aruba","125,063","",188,"Central America and the Caribbean"
"Kiribati","kiribati","116,545","",189,"Australia and Oceania"
"Grenada","grenada","114,621","",190,"Central America and the Caribbean"
"Tonga","tonga","104,889","",191,"Australia and Oceania"
"Virgin Islands","virgin-islands","104,377","",192,"Central America and the Caribbean"
"Jersey","jersey","103,387","",193,"Europe"
"Antigua and Barbuda","antigua-and-barbuda","102,634","",194,"Central America and the Caribbean"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","100,647","",195,"Central America and the Caribbean"
"Micronesia, Federated States of","micronesia-federated-states-of","99,603","",196,"Australia and Oceania"
"Seychelles","seychelles","98,187","",197,"Africa"
"Isle of Man","isle-of-man","92,269","",198,"Europe"
"Andorra","andorra","85,370","",199,"Europe"
"Marshall Islands","marshall-islands","82,011","",200,"Australia and Oceania"
"Dominica","dominica","74,661","",201,"Central America and the Caribbean"
"Bermuda","bermuda","72,800","",202,"North America"
"Guernsey","guernsey","67,787","",203,"Europe"
"Cayman Islands","cayman-islands","66,653","",204,"Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","60,439","",205,"Central America and the Caribbean"
"Greenland","greenland","57,751","",206,"North America"
"Saint Kitts and Nevis","saint-kitts-and-nevis","55,133","",207,"Central America and the Caribbean"
"Faroe Islands","faroe-islands","52,933","",208,"Europe"
"Northern Mariana Islands","northern-mariana-islands","51,118","",209,"Australia and Oceania"
"Sint Maarten","sint-maarten","46,215","",210,"Central America and the Caribbean"
"American Samoa","american-samoa","43,895","",211,"Australia and Oceania"
"Liechtenstein","liechtenstein","40,272","",212,"Europe"
"British Virgin Islands","british-virgin-islands","40,102","",213,"Central America and the Caribbean"
"San Marino","san-marino","35,095","",214,"Europe"
"Saint Martin","saint-martin","32,996","",215,"Central America and the Caribbean"
"Monaco","monaco","31,813","",216,"Europe"
"Gibraltar","gibraltar","29,683","",217,"Europe"
"Palau","palau","21,864","",218,"Australia and Oceania"
"Anguilla","anguilla","19,416","",219,"Central America and the Caribbean"
"Wallis and Futuna","wallis-and-futuna","15,964","",220,"Australia and Oceania"
"Tuvalu","tuvalu","11,733","",221,"Australia and Oceania"
"Nauru","nauru","9,892","",222,"Australia and Oceania"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","7,943","",223,"Africa"
"Cook Islands","cook-islands","7,761","",224,"Australia and Oceania"
"Saint Barthelemy","saint-barthelemy","7,086","",225,"Central America and the Caribbean"
"Montserrat","montserrat","5,468","",226,"Central America and the Caribbean"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","5,132","",227,"North America"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","3,662","2021",228,"South America"
"Svalbard","svalbard","2,926","2021",229,"Europe"
"Niue","niue","2,000","2022",230,"Australia and Oceania"
"Norfolk Island","norfolk-island","1,748","2016",231,"Australia and Oceania"
"Christmas Island","christmas-island","1,692","",232,"Australia and Oceania"
"Tokelau","tokelau","1,647","2019",233,"Australia and Oceania"
"Paracel Islands","paracel-islands","1,440","July 2014",234,"East and Southeast Asia"
"Holy See (Vatican City)","holy-see-vatican-city","1,000","2022",235,"Europe"
"Cocos (Keeling) Islands","cocos-keeling-islands","593","",236,"Australia and Oceania"
"Pitcairn Islands","pitcairn-islands","50","2021",237,"Australia and Oceania"